raw_text,canonical_name,category,subcategory
AWS SERVICES AMAZON.COM USA,Amazon Web Services,Software & Subscriptions,Cloud Services
GOOGLE *CLOUD MOUNTAIN VIEW CA,Google Cloud,Software & Subscriptions,Cloud Services
SLACK TECHNOLOGIES SLACK.COM CA,Slack,Software & Subscriptions,Productivity Software
FIGMA *DESIGN FIGMA.COM CA,Figma,Software & Subscriptions,Design Tools
JETBRAINS *INTELLIJ JETBRAINS.COM CZ,JetBrains,Software & Subscriptions,Development Tools
CANVA PRO SUBSCRIPTION CANVA.COM AU,Canva,Software & Subscriptions,Design Tools
NOTION LABS NOTION.SO CA,Notion,Software & Subscriptions,Productivity Software
SHOPIFY INC SHOPIFY.COM ON,Shopify,Software & Subscriptions,E-commerce Platform
GITHUB *COPILOT BILLING GITHUB.COM USA,GitHub Copilot,Software & Subscriptions,Development Tools
ANTHROPIC PBC ANTHROPIC.COM CA,Anthropic,Software & Subscriptions,AI Services
ADOBE CREATIVE CLOUD ADOBE.COM CA,Adobe,Software & Subscriptions,Design Tools
GOOGLE *WORKSPACE G.CO/PAYHELP CA,Google Workspace,Software & Subscriptions,Productivity Software
DIGITALOCEAN.COM DIGITALOCEAN.COM USA,DigitalOcean,Software & Subscriptions,Cloud Services
HEROKU SALESFORCE.COM CA,Heroku,Software & Subscriptions,Cloud Services
UPWORK FREELANCE UPWORK.COM CA,Upwork,Professional Services,Freelance Platform
FIVERR SERVICES FIVERR.COM IL,Fiverr,Professional Services,Freelance Platform
INTUIT *QUICKBOOKS QB.COM CA,QuickBooks,Professional Services,Accounting Software
ASANA PROJECT MGMT ASANA.COM CA,Asana,Professional Services,Project Management
HUBSPOT SOFTWARE HUBSPOT.COM CA,HubSpot,Professional Services,Marketing Software
SALESFORCE.COM SAN FRANCISCO CA,Salesforce,Professional Services,CRM Software
MONDAY.COM MONDAY.COM IL,Monday.com,Professional Services,Project Management
WAVE ACCOUNTING WAVEAPPS.COM CA,Wave,Professional Services,Accounting Software
LAWDEPOT *DOCUMENTS LAWDEPOT.CA AB,LawDepot,Professional Services,Legal Services
TOPTAL TALENT NETWORK TOPTAL.COM CA,Toptal,Professional Services,Freelance Platform
H&R BLOCK #2847 TORONTO ON,H&R Block,Professional Services,Tax Services
LEGALZOOM.COM LEGALZOOM.COM CA,LegalZoom,Professional Services,Legal Services
FRESHBOOKS *SUBSCRIPTION FRESHBOOKS.COM ON,FreshBooks,Professional Services,Accounting Software
ZOOM.US VIDEO CONFERENCING CA,Zoom,Professional Services,Video Conferencing
DOCUSIGN INC DOCUSIGN.COM CA,DocuSign,Professional Services,Document Management
SAVE ON FOODS #284 VANCOUVER BC,Save-On-Foods,Food & Dining,Grocery
SAFEWAY #1847 CALGARY AB,Safeway,Food & Dining,Grocery
METRO PLUS #0847 MONTREAL QC,Metro,Food & Dining,Grocery
BC HYDRO EBILL BILLING VANCOUVER BC,BC Hydro,Utilities,Electricity
SASKENERGY PREAUTH PMT REGINA SK,SaskEnergy,Utilities,Natural Gas
MANITOBA HYDRO EBILL WINNIPEG MB,Manitoba Hydro,Utilities,Electricity
TICKETMASTER *BLUEJAYS TORONTO ON,Toronto Blue Jays,Entertainment,Sports Event
TICKETMASTER *RAPTORS SCOTIABANK ON,Toronto Raptors,Entertainment,Sports Event
ROM TORONTO #GENERAL TORONTO ON,Royal Ontario Museum,Entertainment,Museum
SCIENCE WORLD BC VANCOUVER BC,Science World,Entertainment,Museum
CN TOWER ADMISSION TORONTO ON,CN Tower,Entertainment,Tourist Attraction
BLACKBERRY QNX WATERLOO ON,BlackBerry,Software & Subscriptions,Enterprise Software
WATTPAD PREMIUM WATTPAD.COM ON,Wattpad,Entertainment,Digital Content
FORTINOS #847 HAMILTON ON,Fortinos,Food & Dining,Grocery
FRESHCO #2847 BRAMPTON ON,FreshCo,Food & Dining,Grocery
PELOTON PELOTON.COM NEW YORK NY,Peloton,Health & Wellness,Fitness Subscription
HEADSPACE MEDITATION HEADSPACE.COM CA,Headspace,Health & Wellness,Mental Health App
CALM.COM MEDITATION CALM.COM CA,Calm,Health & Wellness,Mental Health App
BETTERHELP THERAPY BETTERHELP.COM CA,BetterHelp,Health & Wellness,Mental Health Services
TALKSPACE THERAPY TALKSPACE.COM CA,Talkspace,Health & Wellness,Mental Health Services
APPLE *FITNESS APPLE.COM/BILL CA,Apple Fitness,Health & Wellness,Fitness Subscription
MYFITNESSPAL PREMIUM MFP.COM CA,MyFitnessPal,Health & Wellness,Fitness App
BEACHBODY ON DEMAND BEACHBODY.COM CA,Beachbody,Health & Wellness,Fitness Subscription
HELLOFRESH MEALS HELLOFRESH.CA ON,HelloFresh,Food & Dining,Meal Kit Service
GOODFOOD MARKET GOODFOOD.CA QC,Goodfood,Food & Dining,Meal Kit Service
CHEF'S PLATE CHEFSPLATE.COM ON,Chef's Plate,Food & Dining,Meal Kit Service
DENTALCORP #2847 MISSISSAUGA ON,Dentalcorp,Health & Wellness,Dental Services
MAPLE TELEMEDICINE GETMAPLE.CA ON,Maple,Health & Wellness,Telemedicine
OPTOMETRY #847 OTTAWA ON,FYidoctors,Health & Wellness,Vision Care
PHYSIO FIRST CLINIC VANCOUVER BC,Physio First,Health & Wellness,Physical Therapy
AIR CANADA AC*BOOKING AIRCANADA.COM ON,Air Canada,Travel & Accommodation,Airline
WESTJET WS*BOOKING WESTJET.COM AB,WestJet,Travel & Accommodation,Airline
PORTER AIRLINES PD*BOOKING FLYPORTER.COM ON,Porter Airlines,Travel & Accommodation,Airline
SUNWING VACATIONS SUNWING.CA ON,Sunwing,Travel & Accommodation,Airline
JAZZ AVIATION FLYJAZZ.CA NS,Jazz Aviation,Travel & Accommodation,Airline
AIRBNB *HMSZ8K47P AIRBNB.COM CA,Airbnb,Travel & Accommodation,Lodging
BOOKING.COM AMSTERDAM NL,Booking.com,Travel & Accommodation,Travel Booking
EXPEDIA.CA TRAVEL EXPEDIA.CA ON,Expedia,Travel & Accommodation,Travel Booking
HTL*MARRIOTT 8004683578 ON,Marriott,Travel & Accommodation,Hotel
HTL*HILTON VANCOUVER BC,Hilton,Travel & Accommodation,Hotel
IHG *INTERCONTINENTAL MONTREAL QC,IHG,Travel & Accommodation,Hotel
HERTZ RENT A CAR CALGARY AB,Hertz,Travel & Accommodation,Car Rental
ENTERPRISE RENT-A-CAR OTTAWA ON,Enterprise,Travel & Accommodation,Car Rental
BUDGET CAR RENTAL WINNIPEG MB,Budget,Travel & Accommodation,Car Rental
TURO CAR SHARING TURO.COM CA,Turo,Travel & Accommodation,Car Rental
TD INSURANCE 1-866-361-2311 ON,TD Insurance,Finance,Insurance
INTACT INSURANCE INTACTINSURANCE.COM ON,Intact Insurance,Finance,Insurance
DESJARDINS INSURANCE DESJARDINS.COM QC,Desjardins,Finance,Insurance
MANULIFE FINANCIAL MANULIFE.CA ON,Manulife,Finance,Insurance
WEALTHSIMPLE INVEST WEALTHSIMPLE.COM ON,Wealthsimple,Finance,Investment Platform
QUESTRADE TRADING QUESTRADE.COM ON,Questrade,Finance,Investment Platform
INTERACTIVE BROKERS IBKR.COM USA,Interactive Brokers,Finance,Investment Platform
STRIPE *PAYMENT STRIPE.COM CA,Stripe,Finance,Payment Processing
SQ *MERCHANT SERVICES SQUAREUP.COM CA,Square,Finance,Payment Processing
PAYPAL *TRANSFER PAYPAL.COM CA,PayPal,Finance,Payment Processing
INTERAC E-TRANSFER FEE,Interac,Finance,Payment Service
RBC ROYAL BANK FEE,RBC,Finance,Bank Fee
BMO MONTHLY FEE,BMO,Finance,Bank Fee
SCOTIABANK SERVICE CHARGE,Scotiabank,Finance,Bank Fee
TD CANADA TRUST FEE,TD,Finance,Bank Fee
STEAM GAMES STEAMPOWERED.COM WA,Steam,Entertainment,Gaming
EPIC GAMES STORE EPICGAMES.COM CA,Epic Games,Entertainment,Gaming
PLAYSTATION *NETWORK PLAYSTATION.COM CA,PlayStation Network,Entertainment,Gaming
XBOX *GAME PASS MICROSOFT.COM CA,Xbox Game Pass,Entertainment,Gaming
NINTENDO *ESHOP NINTENDO.COM CA,Nintendo,Entertainment,Gaming
TWITCH INTERACTIVE TWITCH.TV CA,Twitch,Entertainment,Streaming
DRAFTKINGS SPORTSBOOK DRAFTKINGS.COM ON,DraftKings,Entertainment,Sports Betting
FANDUEL SPORTSBOOK FANDUEL.COM ON,FanDuel,Entertainment,Sports Betting
BETMGM SPORTSBOOK BETMGM.COM ON,BetMGM,Entertainment,Sports Betting
AMAZON PRIME VIDEO PRIMEVIDEO.COM CA,Amazon Prime Video,Entertainment,Streaming
CBC GEM SUBSCRIPTION CBC.CA ON,CBC Gem,Entertainment,Streaming
CRAVE TV SUBSCRIPTION CRAVE.CA ON,Crave,Entertainment,Streaming
CRUNCHYROLL PREMIUM CRUNCHYROLL.COM CA,Crunchyroll,Entertainment,Streaming
U OF T BOOKSTORE TORONTO ON,University of Toronto,Education & Learning,University
UBC BOOKSTORE VANCOUVER BC,University of British Columbia,Education & Learning,University
MCGILL UNIVERSITY MONTREAL QC,McGill University,Education & Learning,University
YORK UNIVERSITY TUITION TORONTO ON,York University,Education & Learning,University Tuition
SKILLSHARE CLASSES SKILLSHARE.COM CA,Skillshare,Education & Learning,Online Courses
MASTERCLASS CLASSES MASTERCLASS.COM CA,MasterClass,Education & Learning,Online Courses
KHAN ACADEMY DONATION KHANACADEMY.ORG CA,Khan Academy,Education & Learning,Online Courses
UDEMY COURSES UDEMY.COM CA,Udemy,Education & Learning,Online Courses
O'REILLY LEARNING OREILLY.COM CA,O'Reilly Media,Education & Learning,Online Courses
PLURALSIGHT COURSES PLURALSIGHT.COM CA,Pluralsight,Education & Learning,Online Courses
IELTS CANADA TESTING FEE ON,IELTS Canada,Education & Learning,Test Preparation
GMAT EXAM REGISTRATION MBA.COM USA,GMAT,Education & Learning,Test Preparation
GRE TESTING FEE ETS.ORG USA,GRE,Education & Learning,Test Preparation
KAPLAN TEST PREP KAPLAN.COM CA,Kaplan,Education & Learning,Test Preparation
VIMEO *SUBSCRIPTION VIMEO.COM CA,Vimeo,Software & Subscriptions,Video Platform
DROPBOX *SUBSCRIPTION DROPBOX.COM CA,Dropbox,Software & Subscriptions,Cloud Storage
1PASSWORD SUBSCRIPTION 1PASSWORD.COM CA,1Password,Software & Subscriptions,Security Software
LASTPASS PREMIUM LASTPASS.COM CA,LastPass,Software & Subscriptions,Security Software
GRAMMARLY PREMIUM GRAMMARLY.COM CA,Grammarly,Software & Subscriptions,Writing Tools
EVERNOTE PREMIUM EVERNOTE.COM CA,Evernote,Software & Subscriptions,Productivity Software
TRELLO *ATLASSIAN TRELLO.COM CA,Trello,Software & Subscriptions,Project Management
AIRTABLE SUBSCRIPTION AIRTABLE.COM CA,Airtable,Software & Subscriptions,Database Software
INTUIT MAILCHIMP EDMONTON AB,Mailchimp,Professional Services,Email Marketing
CONVERTKIT *SUBSCRIPTION CONVERTKIT.COM CA,ConvertKit,Professional Services,Email Marketing
CONSTANT CONTACT CONSTANTCONTACT.COM CA,Constant Contact,Professional Services,Email Marketing
BUFFER SOCIAL MEDIA BUFFER.COM CA,Buffer,Professional Services,Social Media Tools
HOOTSUITE MEDIA INC HOOTSUITE.COM BC,Hootsuite,Professional Services,Social Media Tools
ZENDESK SUPPORT ZENDESK.COM CA,Zendesk,Professional Services,Customer Support
INTERCOM SOFTWARE INTERCOM.COM CA,Intercom,Professional Services,Customer Support
TYPEFORM SURVEYS TYPEFORM.COM CA,Typeform,Professional Services,Survey Software
SURVEYMONKEY SURVEYMONKEY.COM CA,SurveyMonkey,Professional Services,Survey Software
CALENDLY SCHEDULING CALENDLY.COM CA,Calendly,Professional Services,Scheduling Software
ACUITY SCHEDULING ACUITYSCHEDULING.COM CA,Acuity Scheduling,Professional Services,Scheduling Software
NAMECHEAP.COM DOMAINS NAMECHEAP.COM CA,Namecheap,Software & Subscriptions,Domain Registration
GODADDY.COM DOMAINS GODADDY.COM CA,GoDaddy,Software & Subscriptions,Domain Registration
WORDPRESS.COM SUBSCRIPTION WORDPRESS.COM CA,WordPress,Software & Subscriptions,Website Platform
WIX.COM WEBSITE WIX.COM CA,Wix,Software & Subscriptions,Website Platform
SQUARESPACE WEBSITE SQUARESPACE.COM CA,Squarespace,Software & Subscriptions,Website Platform
SEPHORA CANADA #847 TORONTO ON,Sephora,Personal Care,Cosmetics
BATH & BODY WORKS VAUGHAN ON,Bath & Body Works,Personal Care,Personal Care Products
LUSH COSMETICS VANCOUVER BC,Lush,Personal Care,Cosmetics
MAC COSMETICS MONTREAL QC,MAC Cosmetics,Personal Care,Cosmetics
CHATTERS SALON #284 CALGARY AB,Chatters,Personal Care,Hair Salon
FIRST CHOICE HAIRCUTTERS OTTAWA ON,First Choice Haircutters,Personal Care,Hair Salon
SMARTSTYLE #2847 EDMONTON AB,SmartStyle,Personal Care,Hair Salon
SPA NORDIK CHELSEA QC,Spa Nordik,Personal Care,Spa Services
ATHLETES WORLD #847 SCARBOROUGH ON,Athletes World,Shopping,Sporting Goods
SPORT CHEK #2847 WINNIPEG MB,Sport Chek,Shopping,Sporting Goods
MEC CO-OP VANCOUVER BC,MEC,Shopping,Sporting Goods
LULULEMON ATHLETICA TORONTO ON,Lululemon,Shopping,Clothing
ARITZIA #847 YORKVILLE ON,Aritzia,Shopping,Clothing
ROOTS CANADA #284 OTTAWA ON,Roots,Shopping,Clothing
HUDSON'S BAY #001 MONTREAL QC,Hudson's Bay,Shopping,Department Store
SIMONS #847 QUEBEC QC,Simons,Shopping,Department Store
STRUCTUBE #284 LAVAL QC,Structube,Shopping,Furniture
IKEA NORTH YORK ON,IKEA,Shopping,Furniture
HOMESENSE #847 BURLINGTON ON,HomeSense,Shopping,Home Goods
STAPLES CANADA #2847 MARKHAM ON,Staples,Shopping,Office Supplies
BEST BUY CANADA #847 RICHMOND BC,Best Buy,Shopping,Electronics
CANADA COMPUTERS #284 MISSISSAUGA ON,Canada Computers,Shopping,Electronics
LONDON PUBLIC LIBRARY LONDON ON,London Public Library,Education & Learning,Library Fine
TORONTO PUBLIC LIBRARY FEE TORONTO ON,Toronto Public Library,Education & Learning,Library Fine
VIA RAIL CANADA VIARAIL.CA ON,VIA Rail,Travel & Accommodation,Train
GO TRANSIT PRESTO GOTRANSIT.COM ON,GO Transit,Transportation,Public Transit
STM MONTREAL OPUS CARD MONTREAL QC,STM Montreal,Transportation,Public Transit
TRANSLINK COMPASS VANCOUVER BC,TransLink,Transportation,Public Transit
HOME DEPOT #7284 TORONTO ON,Home Depot,Shopping,Home Improvement
HOME DEPOT #8473 VANCOUVER BC,Home Depot,Shopping,Home Improvement
RONA INC #1847 CALGARY AB,Rona,Shopping,Home Improvement
RONA HOME & GARDEN #0284 OTTAWA ON,Rona,Shopping,Home Improvement
LOWES #2847 MISSISSAUGA ON,Lowe's,Shopping,Home Improvement
LOWES CANADA #1923 EDMONTON AB,Lowe's,Shopping,Home Improvement
CANADIAN TIRE AUTO #847 SCARBOROUGH ON,Canadian Tire,Transportation,Auto Service
CANADIAN TIRE #2910 WINNIPEG MB,Canadian Tire,Shopping,Home Improvement
HOME HARDWARE #847 GUELPH ON,Home Hardware,Shopping,Home Improvement
HOME HARDWARE BLDG CTR LONDON ON,Home Hardware,Shopping,Home Improvement
RENO-DEPOT #284 MONTREAL QC,Reno-Depot,Shopping,Home Improvement
RENO-DEPOT #847 LAVAL QC,Reno-Depot,Shopping,Home Improvement
SQ *JOE'S PLUMBING NORTH YORK ON,Joe's Plumbing,Professional Services,Plumbing
SQ *QUICK PLUMBER VANCOUVER BC,Quick Plumber,Professional Services,Plumbing
TST* MASTER PLUMBING CALGARY AB,Master Plumbing,Professional Services,Plumbing
SQ *DRAIN RESCUE TORONTO ON,Drain Rescue,Professional Services,Plumbing
SQ *ABC PLUMBING OTTAWA ON,ABC Plumbing,Professional Services,Plumbing
ROTO-ROOTER PLUMBING 1-800-768-6911 ON,Roto-Rooter,Professional Services,Plumbing
MR ROOTER PLUMBING MISSISSAUGA ON,Mr. Rooter,Professional Services,Plumbing
SQ *CITY ELECTRICIAN TORONTO ON,City Electrician,Professional Services,Electrical
TST* POWER ELECTRIC VANCOUVER BC,Power Electric,Professional Services,Electrical
SQ *BRIGHT ELECTRICAL CALGARY AB,Bright Electrical,Professional Services,Electrical
SQ *HOME HANDYMAN HAMILTON ON,Home Handyman,Professional Services,Handyman
TST* FIX IT PROS EDMONTON AB,Fix It Pros,Professional Services,Handyman
MR LUBE #2847 SCARBOROUGH ON,Mr. Lube,Transportation,Auto Service
MR LUBE #1847 BURNABY BC,Mr. Lube,Transportation,Auto Service
JIFFY LUBE #847 CALGARY AB,Jiffy Lube,Transportation,Auto Service
OIL CHANGERS #284 KITCHENER ON,Oil Changers,Transportation,Auto Service
CANADIAN TIRE AUTO SVC MARKHAM ON,Canadian Tire,Transportation,Auto Service
SQ *AUTO REPAIR SHOP TORONTO ON,Auto Repair Shop,Transportation,Auto Service
SQ *QUICK FIX AUTO VANCOUVER BC,Quick Fix Auto,Transportation,Auto Service
TST* CITY MOTORS OTTAWA ON,City Motors,Transportation,Auto Service
SQ *BRAKE MASTERS CALGARY AB,Brake Masters,Transportation,Auto Service
MIDAS AUTO SERVICE #847 LONDON ON,Midas,Transportation,Auto Service
FOUNTAIN TIRE #2847 EDMONTON AB,Fountain Tire,Transportation,Auto Service
KAL TIRE #847 KELOWNA BC,Kal Tire,Transportation,Auto Service
OK TIRE #284 REGINA SK,OK Tire,Transportation,Auto Service
COSTCO TIRE CENTRE VAUGHAN ON,Costco,Transportation,Auto Service
PNEUS RATTACHEZ QC #847 MONTREAL QC,Pneus Rattachez,Transportation,Auto Service
SQ *MUFFLER MAN BRAMPTON ON,Muffler Man,Transportation,Auto Service
SPEEDY AUTO SERVICE MISSISSAUGA ON,Speedy,Transportation,Auto Service
ACTIVE GREEN+ROSS TORONTO ON,Active Green + Ross,Transportation,Auto Service
NAPA AUTO PARTS #2847 WINNIPEG MB,NAPA Auto Parts,Shopping,Auto Parts
PARTSOURCE #847 AJAX ON,PartSource,Shopping,Auto Parts
PRINCESS AUTO #284 SASKATOON SK,Princess Auto,Shopping,Auto Parts
IMPARK00110113A OTTAWA ON,Impark,Transportation,Parking
IMPARK #8473 VANCOUVER BC,Impark,Transportation,Parking
GREEN P PARKING TORONTO ON,Green P,Transportation,Parking
EASYPARK #847 VANCOUVER BC,EasyPark,Transportation,Parking
INDIGO PARKING #2847 MONTREAL QC,Indigo,Transportation,Parking
CITY OF TORONTO PARKING TICKET ON,City of Toronto,Transportation,Parking Fine
PETSMART #2847 TORONTO ON,PetSmart,Shopping,Pet Supplies
PETSMART #1847 VANCOUVER BC,PetSmart,Shopping,Pet Supplies
PETCO #847 CALGARY AB,Petco,Shopping,Pet Supplies
GLOBAL PET FOODS #284 MISSISSAUGA ON,Global Pet Foods,Shopping,Pet Supplies
GLOBAL PET FOODS #847 OTTAWA ON,Global Pet Foods,Shopping,Pet Supplies
PET VALU #2847 SCARBOROUGH ON,Pet Valu,Shopping,Pet Supplies
PET VALU #1923 EDMONTON AB,Pet Valu,Shopping,Pet Supplies
REN'S PETS DEPOT MARKHAM ON,Ren's Pets,Shopping,Pet Supplies
BOSLEY'S PET FOOD PLUS BURNABY BC,Bosley's,Shopping,Pet Supplies
SQ *CITY VET CLINIC TORONTO ON,City Vet Clinic,Health & Wellness,Veterinary
SQ *ANIMAL HOSPITAL VANCOUVER BC,Animal Hospital,Health & Wellness,Veterinary
