raw_text,canonical_name,category,subcategory
UBER *TRIP 7PM FRIDAY,Uber,Transportation,Rideshare
CINEPLEX ODEON #2847 TORONTO ON,Cineplex,Entertainment,Movies
FARM BOY #47 KANATA ON,Farm Boy,Food & Dining,Grocery
MCDONALD'S #91847 EDMONTON AB,McDonald's,Food & Dining,Fast Food
ROGERS VIDEO ON DEMAND,Rogers,Entertainment,Video On Demand
PAYPAL *ETSY.COM 4029357733,Etsy,Shopping,Online Retail
LONDON DRUGS #28 VANCOUVER BC,London Drugs,Shopping,Pharmacy
PRESTO *FARELOAD 416-869-3200,Presto,Transportation,Public Transit
AMZN.CA*2M8K4P AMAZON.CA,Amazon,Shopping,Online Retail
SECOND CUP #847 CALGARY AB,Second Cup,Food & Dining,Coffee Shop
GOODLIFE FITNESS 001002847,GoodLife Fitness,Health & Wellness,Gym Membership
TST* SUSHI SPOT OTTAWA ON,Sushi Spot,Food & Dining,Restaurant
HARVEY'S #2847 GUELPH ON,Harvey's,Food & Dining,Fast Food
CANADIAN TIRE #284 BARRIE ON,Canadian Tire,Shopping,Department Store
SHELL OIL 82947301 SASKATOON SK,Shell,Transportation,Gas Station
NY TIMES DIGITAL NY USA,New York Times,Entertainment,News Subscription
PIZZA PIZZA #2847 TORONTO ON,Pizza Pizza,Food & Dining,Fast Food
DISNEY PLUS DISNEYPLUS.COM,Disney Plus,Entertainment,Streaming
LOBLAWS #0284 NORTH YORK ON,Loblaws,Food & Dining,Grocery
UBER *EATS FRI 8PM,Uber Eats,Food & Dining,Delivery
BOSTON PIZZA #847 RED DEER AB,Boston Pizza,Food & Dining,Restaurant
SHOPPERS DM #9284 VANCOUVER BC,Shoppers Drug Mart,Health & Wellness,Pharmacy
PAYPAL *PATREON 4029357733,Patreon,Entertainment,Subscription
PETRO-CANADA 82947301 WHITBY ON,Petro-Canada,Transportation,Gas Station
SQ *BAGEL SHOP MONTREAL QC,Bagel Shop,Food & Dining,Fast Food
METRO #2847 LAVAL QC,Metro,Food & Dining,Grocery
STARBUCKS STORE 28473 VICTORIA BC,Starbucks,Food & Dining,Coffee Shop
APPLE.COM/BILL ICLOUD,Apple,Entertainment,Cloud Storage
INDIGO BOOKS #284 TORONTO ON,Indigo,Shopping,Books
TST* BURRITO BAR CALGARY AB,Burrito Bar,Food & Dining,Restaurant
ESSO 19284756 MONCTON NB,Esso,Transportation,Gas Station
PAYMENT - THANK YOU / PAIEMENT - MERCI,,Payment,Credit
WALMART SUPERCENTRE #2847 SURREY BC,Walmart,Shopping,Department Store
UBER *TRIP WED 6PM YYZ,Uber,Transportation,Rideshare
NO FRILLS #2847 ETOBICOKE ON,No Frills,Food & Dining,Grocery
BELL CANADA 1-888-759-3474,Bell,Utilities,Telecom
SQ *DESSERT SPOT TORONTO ON,Dessert Spot,Food & Dining,Dessert
AMZN DIGITAL*2K9M3 AMZN.CA/PRIME,Amazon,Entertainment,Digital Content
TIM HORTONS #1847 BURNABY BC,Tim Hortons,Food & Dining,Fast Food
RONA INC #284 QUEBEC QC,Rona,Shopping,Home Improvement
LCBO/SAQ #2847 KINGSTON ON,LCBO,Food & Dining,Alcohol
ENMAX PRE-AUTHORIZED PMT,Enmax,Utilities,Electricity
SHELL 82947301 CHARLOTTETOWN PE,Shell,Transportation,Gas Station
